timestamp,close,high,low,open,volume
1478266212,757.4100,757.4200,755.1300,755.7600,146900
1478266262,757.6700,758.2350,756.2200,756.6000,15000
1478266326,757.9300,758.1600,756.6100,757.5180,11200
1478266393,758.7800,758.7800,757.6000,757.8800,10400
1478266445,759.5000,759.8700,758.6125,758.6175,12300
1478266502,761.7400,761.7400,759.0001,759.1100,9600
1478266561,761.7501,762.5800,761.3200,761.6600,11500
1478266623,764.9950,764.9950,762.2775,762.2775,21000
1478266680,765.6566,766.0985,764.4300,764.9200,22600
1478266750,765.2000,765.6600,765.0000,765.4153,13900
1478266811,765.2425,765.6190,765.0000,765.3050,7200
1478266869,764.4250,765.2900,763.7300,764.3100,7600
1478266932,764.2500,764.6400,763.6500,764.1650,4500
1478266989,763.1302,763.7750,763.0500,763.6534,4100
1478267040,761.7200,763.2720,761.1500,763.1136,10600
1478267117,761.7300,762.3000,761.0000,761.1600,8000
1478267160,761.8700,762.2300,761.5000,761.5000,5800
1478267239,762.2600,762.2600,761.8100,761.8100,2200
1478267286,762.4900,762.7800,761.8100,761.9300,4100
1478267360,761.1701,762.6400,761.1701,762.5000,4100
1478267413,760.2100,761.3224,760.1565,761.1200,3400
1478267460,758.5510,760.3000,758.5510,760.1360,8700
1478267528,759.6100,759.7300,759.0925,759.1500,2800
1478267589,760.7800,761.0000,759.9700,760.2200,4100
1478267644,761.4539,761.4539,760.9800,760.9800,4500
1478267700,760.3150,761.6500,759.9200,761.6500,4800
1478267765,759.3950,760.4400,759.2600,760.4400,2900
1478267825,759.5400,760.1150,759.5400,759.7400,3900
1478267883,760.3650,760.8000,760.1300,760.1800,4200
1478267942,760.0500,760.2300,759.4100,760.1200,8700
1478268008,760.0050,760.5050,759.9300,760.1380,7300
1478268067,760.5974,760.6072,759.6400,759.6400,5600
1478268127,760.7800,760.9000,760.4400,760.5900,2300
1478268186,762.0000,762.0000,761.1400,761.2500,4500
1478268246,762.6100,762.6800,761.6925,762.0500,7600
1478268301,761.5900,762.6400,761.5800,762.4800,9800
1478268365,761.4800,762.1457,761.4800,762.1457,3800
1478268442,762.0000,762.0000,761.4350,761.4350,2900
1478268510,762.6900,762.6900,762.3800,762.3800,800
1478268546,761.6900,762.9100,761.6900,762.7082,4300
1478268602,762.4016,762.6150,761.9900,762.0100,2900
1478268665,762.5524,762.8500,762.2000,762.6432,10400
1478268721,762.2500,762.7300,762.2500,762.5000,2800
1478268780,761.4698,762.0000,761.0000,762.0000,6900
1478268880,761.0600,761.4600,761.0600,761.1500,2200
1478268919,760.7300,761.0300,760.2500,761.0300,20700
1478268960,761.2400,761.2400,760.2200,760.6300,4000
1478269021,762.0900,762.0900,761.2300,761.2300,2000
1478269087,763.2100,763.3900,762.0500,762.2100,5800
1478269175,763.8300,763.8600,763.2600,763.4500,5400
1478269213,763.7400,763.8000,763.2645,763.5300,8600
1478269267,764.1900,764.1900,763.4300,763.4300,1600
1478269323,764.7100,764.7100,763.5300,764.1000,6200
1478269397,764.0400,764.4600,764.0400,764.3700,2600
